dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,annual.inc,cluster
0.8876933422999328,0.3809523809523809,0.2096696447736045,0.0131964658568445,0.3887323943661971,0.074074074074074,0.0,0.0,0.0204764682503225,1
0.4377942165433759,0.3333333333333333,0.1117371093905694,0.0243023770095553,0.3126760563380281,0.1481481481481481,0.0,0.0,0.0167936501611486,0
0.65635507733692,0.2619047619047619,0.2491838955685416,0.0217103977453894,0.311737089201878,0.1481481481481481,0.1666666666666666,0.0,0.017039171423014,0
0.5443846671149967,0.2619047619047619,0.3539912758643933,0.0141273155529041,0.7812206572769953,0.1481481481481481,0.0,0.0,0.0283331465827304,1
0.8917283120376598,0.238095238095238,0.1428325983718771,0.0547709904035053,0.6150234741784038,0.1481481481481481,0.0,0.0,0.025485100676095,1
0.6687962340282448,0.119047619047619,0.2560563541919126,0.0411733848986351,0.4150234741784038,0.2222222222222222,0.1666666666666666,0.0,0.0376629521983356,1
0.7367182246133155,0.1428571428571428,0.2732398870397853,0.0345751519702128,0.8826291079812206,0.1111111111111111,0.0,0.2,0.0438009822255296,1
0.5410221923335575,0.3333333333333333,0.2135091537944321,0.028298345041811,0.3492957746478873,0.2222222222222222,0.0,0.0,0.021458553013592,0
0.4680564895763282,0.1904761904761904,0.1959247275268628,0.0054796704483506,0.9098591549295776,0.0,0.0,0.0,0.0178955494423139,1
0.5141223940820444,0.4285714285714285,0.1649986637216938,0.0164210114890509,0.2272300469483568,0.1481481481481481,0.0,0.0,0.0474818360356908,0
0.4646940147948891,0.2857142857142857,0.0979921921438276,0.0247138022895816,0.876056338028169,0.2592592592592592,0.0,0.0,0.0219495954355649,1
0.5611970410221924,0.4047619047619047,0.259492583503598,0.0501835985312117,0.6384976525821596,0.2222222222222222,0.0,0.0,0.0293152316271775,1
0.6597175521183591,0.4761904761904761,0.2371570929776426,0.0917529802618721,0.6497652582159624,0.1481481481481481,0.0,0.0,0.0239137651088083,1
0.2982515131136516,0.238095238095238,0.1564080904424802,0.0359765693303025,0.9032863849765258,0.1481481481481481,0.0,0.0,0.0307883586615898,1
0.8352387357094823,0.3095238095238095,0.3454007025851797,0.3017753000833136,0.7248826291079813,0.074074074074074,0.0,0.0,0.0479748430206166,1
0.7911903160726296,0.119047619047619,0.2332674723366235,0.0262952182096828,0.6,0.037037037037037,0.1666666666666666,0.0,0.0215646182540216,1
0.8069939475453934,0.2619047619047619,0.1340725999165248,0.014078458800901,0.4582159624413145,0.1481481481481481,0.0,0.0,0.0077093657328204,1
0.2249495628782784,0.1428571428571428,0.6855897909032957,0.0261126482416712,0.3286384976525822,0.037037037037037,0.3333333333333333,0.0,0.0231280971006809,0
0.4784801613987895,0.1666666666666666,0.0601960560047332,0.0162307272970387,0.5699530516431925,0.1481481481481481,0.0,0.0,0.0060398215608068,1
0.9559515803631472,0.3809523809523809,0.2233596778212637,0.097860074262263,0.9089201877934272,0.1111111111111111,0.0,0.0,0.0253868921429877,1
0.073974445191661,0.2142857142857142,0.0274898344934835,0.0063462349444061,0.7474178403755868,0.037037037037037,0.0,0.0,0.0131108321621784,1
0.7824478816408877,0.1904761904761904,0.4246606724186117,0.0651800499881715,0.860093896713615,0.037037037037037,0.0,0.0,0.0307883586615898,1
0.5457296570275724,0.2857142857142857,0.0653503999722614,0.0143818849449204,0.2384976525821596,0.1851851851851851,0.0,0.0,0.0153205229358431,0
